full_names	species	clades	nb_rnaseq
Corchorus_olitorius	Corchorus_olitorius	Corchorus olitorius	Embryophyta	50
Corvus_cornix	Corvus_cornix	Corvus cornix	Aves	50
Corymbia_citriodora	Corymbia_citriodora	Corymbia citriodora	Embryophyta	5
Cottoperca_gobio	Cottoperca_gobio	Cottoperca gobio	Teleostei	7
Crocodylus_porosus	Crocodylus_porosus	Crocodylus porosus	Other Vertebrates	12
Crotalus_tigris	Crotalus_tigris	Crotalus tigris	Other Vertebrates	40
Cryptotermes_secundus	Cryptotermes_secundus	Cryptotermes secundus	Other Insecta	11
Cucumis_melo	Cucumis_melo	Cucumis melo	Embryophyta	50
Cucumis_sativus	Cucumis_sativus	Cucumis sativus	Embryophyta	50
Cucurbita_maxima	Cucurbita_maxima	Cucurbita maxima	Embryophyta	50
Cucurbita_moschata	Cucurbita_moschata	Cucurbita moschata	Embryophyta	50
Cucurbita_pepo	Cucurbita_pepo	Cucurbita pepo	Embryophyta	50
Culex_quinquefasciatus	Culex_quinquefasciatus	Culex quinquefasciatus	Lepido Diptera	8
Cuscuta_australis	Cuscuta_australis	Cuscuta australis	Embryophyta	50
Cuscuta_campestris	Cuscuta_campestris	Cuscuta campestris	Embryophyta	50
Cyanistes_caeruleus	Cyanistes_caeruleus	Cyanistes caeruleus	Aves	40
Cyclopterus_lumpus	Cyclopterus_lumpus	Cyclopterus lumpus	Teleostei	44
Cyprinus_carpio	Cyprinus_carpio	Cyprinus carpio	Teleostei	31
Danaus_plexippus	Danaus_plexippus	Danaus plexippus	Lepido Diptera	1
Danio_rerio	Danio_rerio	Danio rerio	Teleostei	6
Daphnia_galeata	Daphnia_galeata	Daphnia galeata	Other Invertebrates	50
Daucus_carota	Daucus_carota	Daucus carota	Embryophyta	50
Dendrobium_catenatum	Dendrobium_catenatum	Dendrobium catenatum	Embryophyta	50
Dendroctonus_ponderosae	Dendroctonus_ponderosae	Dendroctonus ponderosae	Other Insecta	30
Dermochelys_coriacea	Dermochelys_coriacea	Dermochelys coriacea	Other Vertebrates	13
Diabrotica_virgifera	Diabrotica_virgifera	Diabrotica virgifera	Other Insecta	50
Diaphorina_citri	Diaphorina_citri	Diaphorina citri	Other Insecta	50
Dichanthelium_oligosanthes	Dichanthelium_oligosanthes	Dichanthelium oligosanthes	Embryophyta	19
Dictyocaulus_viviparus	Dictyocaulus_viviparus	Dictyocaulus viviparus	Nematoda	31
Digitaria_exilis	Digitaria_exilis	Digitaria exilis	Embryophyta	5
Dinoponera_quadriceps	Dinoponera_quadriceps	Dinoponera quadriceps	Hymenoptera	14
Dissostichus_mawsoni	Dissostichus_mawsoni	Dissostichus mawsoni	Teleostei	17
Dorcoceras_hygrometricum	Dorcoceras_hygrometricum	Dorcoceras hygrometricum	Embryophyta	50
Drosophila_erecta	Drosophila_erecta	Drosophila erecta	Lepido Diptera	46
Drosophila_grimshawi	Drosophila_grimshawi	Drosophila grimshawi	Lepido Diptera	30
Drosophila_guanche	Drosophila_guanche	Drosophila guanche	Lepido Diptera	12
Drosophila_mauritiana	Drosophila_mauritiana	Drosophila mauritiana	Lepido Diptera	50
Drosophila_melanogaster	Drosophila_melanogaster	Drosophila melanogaster	Lepido Diptera	129
Drosophila_pseudoobscura	Drosophila_pseudoobscura	Drosophila pseudoobscura	Lepido Diptera	32
Drosophila_sechellia	Drosophila_sechellia	Drosophila sechellia	Lepido Diptera	50
Drosophila_simulans	Drosophila_simulans	Drosophila simulans	Lepido Diptera	12
Drosophila_subpulchrella	Drosophila_subpulchrella	Drosophila subpulchrella	Lepido Diptera	10
Drosophila_suzukii	Drosophila_suzukii	Drosophila suzukii	Lepido Diptera	23
Dufourea_novaeangliae	Dufourea_novaeangliae	Dufourea novaeangliae	Hymenoptera	1
Durio_zibethinus	Durio_zibethinus	Durio zibethinus	Embryophyta	18
Echinococcus_granulosus	Echinococcus_granulosus	Echinococcus granulosus	Other Invertebrates	50
Elaeis_guineensis	Elaeis_guineensis	Elaeis guineensis	Embryophyta	50
Electrophorus_electricus	Electrophorus_electricus	Electrophorus electricus	Teleostei	12
Elysia_chlorotica	Elysia_chlorotica	Elysia chlorotica	Other Invertebrates	13
Enhydra_lutris	Enhydra_lutris	Enhydra lutris	Mammalia	4
